"IP","Domain","Country","Region","City","ISP","ASN","Lat","Long"
"1.34.0.0","1-34-0-0.hinet-ip.hinet.net","China","Jiangsu","Taiwan","Data Communication Business Group","3462","32.3279","118.7675"
"1.160.0.0","1-160-0-0.dynamic-ip.hinet.net","Taiwan","New Taipei","New Taipei","Data Communication Business Group","3462","24.9466","121.586"
"1.200.0.0","","Taiwan","Taipei City","Taipei","Taiwan Star Telecom Corporation Limited.Former Vibo Telecom Inc.","24157","25.0504","121.5324"
"2.58.240.0","","United States","California","Los Angeles","HostingInside LTD.","9678","34.0485","-118.2529"
"5.153.23.160","a0.17.9905.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"5.153.39.0","0.27.9905.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"5.153.51.224","e0.33.9905.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"23.247.4.0","23.247.4.0.static.layerhost.com","United States","","","LAYER-HOST","46573","37.751","-97.822"
"23.247.10.96","","United States","","","LAYER-HOST","46573","37.751","-97.822"
"23.247.25.128","zilla.sloteps.com","United States","","","LAYER-HOST","46573","37.751","-97.822"
"23.247.45.224","","United States","","","LAYER-HOST","46573","37.751","-97.822"
"23.247.86.64","","United States","","","LAYER-HOST","46573","37.751","-97.822"
"23.247.86.192","","United States","","","LAYER-HOST","46573","37.751","-97.822"
"27.0.152.0","","Taiwan","","","Digidom CableTV Co., LTD.","131607","24","121"
"27.51.0.0","27-51-0-0.adsl.fetnet.net","Taiwan","New Taipei","","Far EastTone Telecommunication Co., Ltd.","9674","25.0355","121.5232"
"27.52.0.0","27-52-0-0.adsl.fetnet.net","Taiwan","Taoyuan","Taoyuan District","Far EastTone Telecommunication Co., Ltd.","9674","24.9889","121.3176"
"27.96.224.0","27-96-224-0.veetime.com","Taiwan","Taichung City","Taichung","VEE TIME CORP.","17809","24.144","120.6844"
"27.100.64.0","0-64-100-27.tinp.net.tw","Taiwan","","","Taiwan Infrastructure Network Technologie","18049","24","121"
"27.105.0.0","27-105-0-0-adsl-TPE.dynamic.so-net.net.tw","Taiwan","Tainan","Beihua","Sony Network Taiwan Limited","18182","22.9692","120.3428"
"27.147.0.0","","Taiwan","New Taipei","New Taipei","Extra-Lan Technologies Co., LTD","18429","24.9466","121.586"
"27.240.0.0","27-240-0-0.adsl.fetnet.net","Taiwan","","","Far EastTone Telecommunication Co., Ltd.","9674","24","121"
"36.224.0.0","36-224-0-0.dynamic-ip.hinet.net","Taiwan","New Taipei","New Taipei","Data Communication Business Group","3462","24.9466","121.586"
"37.58.89.136","88.59.3a25.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"37.252.243.0","","Taiwan","Taipei City","Taipei","ANEXIA Internetdienstleistungs GmbH","42473","25.0504","121.5324"
"39.1.0.0","39-1-0-0-adsl-KHH.dynamic.so-net.net.tw","Taiwan","","","Sony Network Taiwan Limited","18182","24","121"
"39.8.0.0","39-8-0-0.adsl.fetnet.net","Taiwan","New Taipei","New Taipei","Far EastTone Telecommunication Co., Ltd.","9674","24.9466","121.586"
"42.0.64.0","","Taiwan","Kaohsiung","Kaohsiung City","Digital United Inc.","4780","22.6148","120.3139"
"42.64.0.0","42-64-0-0.emome-ip.hinet.net","Taiwan","","","","","24","121"
"43.224.20.0","","Taiwan","","","Kaopu Cloud HK Limited","138915","24","121"
"43.224.248.0","","Taiwan","","","Cloudie Limited","55933","24","121"
"43.226.232.0","","Taiwan","","","TNET Communication Inc. 10F., No.78, Sec. 2, Chongxin Rd., Sanchong Dist.,New Taipei City, T","38851","24","121"
"43.227.24.0","","Taiwan","","","TNET Communication Inc. 10F., No.78, Sec. 2, Chongxin Rd., Sanchong Dist.,New Taipei City, T","38851","24","121"
"43.240.24.0","","Taiwan","","","Taiwan Fixed Network, Telco and Network Service Provider.","9924","24","121"
"43.240.44.0","","Taiwan","","","","","24","121"
"43.240.104.0","","Taiwan","","","Asia Pacific Telecom","17709","24","121"
"43.240.108.0","","Taiwan","","","","","24","121"
"43.240.152.0","","Taiwan","","","Taiwan Infrastructure Network Technologie","18049","24","121"
"43.241.32.0","","Taiwan","","","TRIUMPH DYNASTY Limited","133747","24","121"
"43.241.160.0","","Taiwan","","","Taiwan Infrastructure Network Technologie","18049","24","121"
"43.243.252.0","","Taiwan","","","Taiwan Infrastructure Network Technologie","18049","24","121"
"43.246.188.0","","Taiwan","","","","","24","121"
"43.246.216.0","","Taiwan","","","Magna Hosting Ltd","141742","24","121"
"43.248.16.0","","Taiwan","Taipei City","Taipei","DongFong Technology Co. Ltd.","18046","25.0504","121.5324"
"43.250.44.0","","Taiwan","","","TNET Communication Inc. 10F., No.78, Sec. 2, Chongxin Rd., Sanchong Dist.,New Taipei City, T","38851","24","121"
"43.251.56.0","","Taiwan","","","","","24","121"
"43.251.60.0","","Taiwan","","","PEGATRON","131593","24","121"
"43.254.16.0","43-254-16-0.static.ip.net.tw","Taiwan","","","Yuan-Jhen Info., Co., Ltd","131149","24","121"
"43.254.60.0","","Taiwan","","","3rd Floor, Kings Court 1, Chino Roces Avenue","59243","24","121"
"43.255.12.0","","Taiwan","","","Taiwan Intelligent Fiber Optic Network Co.,Ltd.","131584","24","121"
"43.255.88.0","","Taiwan","","","Taiwan Star Telecom Corporation Limited.Former Vibo Telecom Inc.","24157","24","121"
"43.255.92.0","","Taiwan","","","","","24","121"
"43.255.180.0","","Taiwan","","","Taiwan Star Telecom Corporation Limited.Former Vibo Telecom Inc.","24157","24","121"
"45.64.28.0","","Taiwan","","","kbro CO. Ltd.","38841","24","121"
"45.64.32.0","","Taiwan","","","UNION BROADBAND NETWORK","24164","24","121"
"45.64.74.0","","Taiwan","","","Cloudie Limited","55933","24","121"
"45.64.228.0","","India","Maharashtra","Mumbai","Peicity Digital Cable Television., LTD","131627","19.0748","72.8856"
"45.64.232.0","","India","Maharashtra","Mumbai","Extra-Lan Technologies Co., LTD","18429","19.0748","72.8856"
"45.113.156.0","","Taiwan","Taichung City","Taichung","New Changhua Digital Cable TV CO,.Ltd","131597","24.144","120.6844"
"45.121.48.0","","Taiwan","","","EMGINECONCEPT-01","31972","24","121"
"45.123.116.0","","Turkey","Bursa","Bursa","Serverfield Co., Ltd.","134094","40.1984","29.0528"
"49.128.64.0","","Taiwan","","","QLINKS","59268","24","121"
"49.128.112.0","","Taiwan","","","EASPNET Inc.","10135","24","121"
"49.158.0.0","49-158-0-0.dynamic.elinx.com.tw","Taiwan","New Taipei","New Taipei","UNION BROADBAND NETWORK","24164","24.9466","121.586"
"49.213.128.0","0-128-213-49.tinp.net.tw","Taiwan","Taichung City","Taichung City","Taiwan Infrastructure Network Technologie","18049","24.1547","120.6716"
"49.214.0.0","","Taiwan","","","Taiwan Fixed Network, Telco and Network Service Provider.","9924","24","121"
"49.216.0.0","","Taiwan","Taipei City","Taipei","Taiwan Mobile Co., Ltd.","24158","25.0504","121.5324"
"58.86.0.0","","Taiwan","","","Koos Broadband Telecom","18042","24","121"
"58.99.0.0","","Taiwan","","","Taiwan Infrastructure Network Technologie","18049","24","121"
"58.99.64.0","0-64-99-58.tinp.net.tw","Taiwan","","","Taiwan Infrastructure Network Technologie","18049","24","121"
"58.114.0.0","host-58-114-0-0.dynamic.kbtelecom.net","Taiwan","New Taipei","New Taipei","Hoshin Multimedia Center Inc.","9416","24.9466","121.586"
"59.102.128.0","","Taiwan","Taoyuan","Taoyuan District","TBC","131596","24.9889","121.3176"
"59.104.0.0","","Taiwan","","","Digital United Inc.","4780","24","121"
"59.112.0.0","59-112-0-0.dynamic-ip.hinet.net","Taiwan","","","Data Communication Business Group","3462","24","121"
"59.120.0.0","59-120-0-0.hinet-ip.hinet.net","Taiwan","New Taipei","New Taipei","Data Communication Business Group","3462","24.9466","121.586"
"59.124.0.0","59-124-0-0.hinet-ip.hinet.net","Taiwan","Taipei City","Taipei","Data Communication Business Group","3462","25.0504","121.5324"
"60.198.0.0","60-198-0-0.dynamic.tfn.net.tw","Taiwan","","","Taiwan Fixed Network, Telco and Network Service Provider.","9924","24","121"
"60.199.0.0","","Taiwan","","","Taiwan Fixed Network, Telco and Network Service Provider.","9924","24","121"
"60.244.0.0","","Taiwan","","","Asia Pacific On-line Service Inc.","7482","24","121"
"60.244.32.0","","Taiwan","","","Asia Pacific On-line Service Inc.","7482","24","121"
"60.244.64.0","","Taiwan","Kaohsiung","Kaohsiung City","Asia Pacific Broadband Fixed Lines Co., Ltd.","24154","22.6148","120.3139"
"60.244.128.0","","Taiwan","Changhua","Chang-hua","Asia Pacific On-line Service Inc.","7482","24.0759","120.5657"
"60.245.0.0","0-0-245-60.savecom.net.tw","Taiwan","Taoyuan","Taoyuan District","SaveCom Internation Inc.","9676","24.9889","121.3176"
"60.245.64.0","","Taiwan","","","New Century InfoComm Tech Co., Ltd.","9919","24","121"
"60.245.96.0","","Taiwan","Tainan","Tainan City","Digital United Inc.","4780","22.9917","120.2148"
"60.248.0.0","60-248-0-0.hinet-ip.hinet.net","Taiwan","New Taipei","New Taipei","Data Communication Business Group","3462","24.9466","121.586"
"60.249.0.0","60-249-0-0.hinet-ip.hinet.net","Taiwan","Taipei City","Taipei","Data Communication Business Group","3462","25.0504","121.5324"
"60.250.0.0","60-250-0-0.hinet-ip.hinet.net","Taiwan","Taipei City","Taipei","Data Communication Business Group","3462","25.0504","121.5324"
"61.20.0.0","61-20-0-0.adsl.fetnet.net","Taiwan","","","Far EastTone Telecommunication Co., Ltd.","9674","24","121"
"61.30.0.0","","Taiwan","","","Taiwan Fixed Network, Telco and Network Service Provider.","9924","24","121"
"61.31.0.0","","Taiwan","","","Taiwan Fixed Network, Telco and Network Service Provider.","9924","24","121"
"61.56.0.0","","Taiwan","","","National Center for Research on Earthquake Engineering","18183","24","121"
"61.64.0.0","","Taiwan","New Taipei","New Taipei","GCNet Reach & Range Inc.","4662","24.9466","121.586"
"61.70.0.0","host-61-70-0-0.static.kbtelecom.net","Taiwan","Taoyuan","Taoyuan District","Hoshin Multimedia Center Inc.","9416","24.9889","121.3176"
"61.70.128.0","host-61-70-128-0.static.kbtelecom.net","Taiwan","Tainan","Tainan City","Hoshin Multimedia Center Inc.","9416","22.9917","120.2148"
"61.71.0.0","host-61-71-0-0.static.kbtelecom.net","Taiwan","","","Hoshin Multimedia Center Inc.","9416","24","121"
"61.71.128.0","host-61-71-128-0.static.kbtelecom.net","Taiwan","","","Hoshin Multimedia Center Inc.","9416","24","121"
"61.216.0.0","61-216-0-0.hinet-ip.hinet.net","Taiwan","Taipei City","Taipei","Data Communication Business Group","3462","25.0504","121.5324"
"61.217.0.0","61-217-0-0.dynamic-ip.hinet.net","Taiwan","","","Data Communication Business Group","3462","24","121"
"61.218.0.0","61-218-0-0.hinet-ip.hinet.net","Taiwan","Nantou","Baxian","Data Communication Business Group","3462","23.8813","120.7701"
"IP","Domain","Country","Region","City","ISP","ASN","Lat","Long"
"203.187.0.0","host-203-187-0-0.ip.kbtelecom.net","Taiwan","","","Hoshin Multimedia Center Inc.","9416","24","121"
"203.187.32.0","host-203-187-32-0.ip.kbtelecom.net","Taiwan","","","Hoshin Multimedia Center Inc.","9416","24","121"
"203.187.64.0","host-203-187-64-0.ip.kbtelecom.net","Taiwan","","","Hoshin Multimedia Center Inc.","9416","24","121"
"203.188.192.0","unknown.yahoo.com","Taiwan","Taoyuan","Taoyuan City","YAHOO! TAIWAN HOLDINGS LIMITED, TAIWAN BRANCH","24506","24.9977","121.2965"
"203.190.16.0","","Taiwan","Kaohsiung","Kaohsiung City","New Kaohsiung Broadband LTD.","9922","22.6148","120.3139"
"203.201.32.0","","Taiwan","","","Asia Pacific Broadband Wireless Communications Inc","24155","24","121"
"203.203.0.0","host-203-203-0-0.dynamic.kbtelecom.net","Taiwan","","","Hoshin Multimedia Center Inc.","9416","24","121"
"203.203.128.0","host-203-203-128-0.dynamic.kbtelecom.net","Taiwan","","","Hoshin Multimedia Center Inc.","9416","24","121"
"203.204.0.0","host-203-204-0-0.static.kbtelecom.net","Taiwan","Keelung","Keelung","Hoshin Multimedia Center Inc.","9416","25.1322","121.742"
"203.204.128.0","host-203-204-128-0.static.kbtelecom.net","Taiwan","Tainan","Tainan City","Hoshin Multimedia Center Inc.","9416","22.9917","120.2148"
"203.207.0.0","","Taiwan","","","","","24","121"
"203.207.32.0","","Taiwan","","","Asia Pacific Broadband Wireless Communications Inc","24155","24","121"
"203.211.0.0","","Taiwan","","","Taiwan Fixed Network, Telco and Network Service Provider.","9924","24","121"
"203.217.96.0","203-217-96-0.veetime.com","Taiwan","Taichung City","Taichung","VEE TIME CORP.","17809","24.144","120.6844"
"203.222.0.0","203-222-0-0.veetime.com","Taiwan","Taichung City","Taichung","VEE TIME CORP.","17809","24.144","120.6844"
"203.222.16.0","203-222-16-0.veetime.com","Taiwan","Taichung City","Taichung","VEE TIME CORP.","17809","24.144","120.6844"
"210.17.0.0","","Taiwan","","","Taiwan Fixed Network, Telco and Network Service Provider.","9924","24","121"
"210.58.0.0","","Taiwan","","","Asia Pacific On-line Service Inc.","7482","24","121"
"210.58.128.0","","Taiwan","","","Peicity Digital Cable Television., LTD","131627","24","121"
"210.59.0.0","","Taiwan","New Taipei","New Taipei","Taiwan Academic Network TANet Information Center","1659","24.9466","121.586"
"210.60.0.0","","Taiwan","","","Taiwan Academic Network TANet Information Center","1659","24","121"
"210.64.0.0","h0-210-64-0.seed.net.tw","Taiwan","New Taipei","New Taipei","Digital United Inc.","4780","24.9466","121.586"
"210.68.0.0","","Taiwan","","","Digital United Inc.","4780","24","121"
"210.80.64.0","","Taiwan","","","UUNET","703","24","121"
"210.80.80.0","","Taiwan","","","UUNET","703","24","121"
"210.85.0.0","","Taiwan","","","Asia Pacific On-line Service Inc.","7482","24","121"
"210.192.0.0","210-192-0-0.adsl.ttn.net","Taiwan","","","Taiwan Fixed Network, Telco and Network Service Provider.","9924","24","121"
"210.192.128.0","0.128.192.210.adsl.static.ttn.net","Taiwan","","","Taiwan Fixed Network, Telco and Network Service Provider.","9924","24","121"
"210.200.0.0","","Taiwan","","","Asia Pacific On-Line Service Inc.","131142","24","121"
"210.200.32.0","","Taiwan","","","National Center for High-performance Computing","7539","24","121"
"210.200.64.0","co-l-210-200-64-0.static.qma.com.tw","Taiwan","","","Asia Pacific On-Line Service Inc.","131142","24","121"
"210.200.96.0","","Taiwan","","","Asia Pacific On-line Service Inc.","7482","24","121"
"210.200.128.0","","Taiwan","","","HITRON TECHNOLOGY INC.","9311","24","121"
"210.200.160.0","","Taiwan","","","Asia Pacific On-line Service Inc.","7482","24","121"
"210.200.192.0","","Taiwan","","","Asia Pacific On-line Service Inc.","7482","24","121"
"210.201.0.0","","Taiwan","","","Asia Pacific On-line Service Inc.","7482","24","121"
"210.201.64.0","","Taiwan","Taichung City","Taichung","Asia Pacific On-line Service Inc.","7482","24.144","120.6844"
"210.201.128.0","","Taiwan","","","Asia Pacific On-line Service Inc.","7482","24","121"
"210.201.192.0","","Taiwan","","","Asia Pacific On-line Service Inc.","7482","24","121"
"210.201.208.0","","Taiwan","","","Asia Pacific On-line Service Inc.","7482","24","121"
"210.201.224.0","","Taiwan","","","Asia Pacific On-line Service Inc.","7482","24","121"
"210.202.0.0","","Taiwan","","","Asia Pacific Broadband Fixed Lines Co., Ltd.","24154","24","121"
"210.203.0.0","","Taiwan","","","Asia Pacific Telecom","17709","24","121"
"210.208.0.0","","Taiwan","","","Taiwan Network Access Point","7656","24","121"
"210.208.64.0","","Taiwan","","","Taiwan Network Access Point","7656","24","121"
"210.208.96.0","","Taiwan","New Taipei","New Taipei","Taiwan Fixed Network, Telco and Network Service Provider.","9924","24.9466","121.586"
"210.208.128.0","","Taiwan","","","Taiwan Network Access Point","7656","24","121"
"210.208.192.0","","Taiwan","","","Taiwan Fixed Network, Telco and Network Service Provider.","9924","24","121"
"210.209.0.0","","Taiwan","","","Taiwan Network Access Point","7656","24","121"
"210.209.128.0","210-209-128-0.veetime.com","Taiwan","Taichung City","Taichung","VEE TIME CORP.","17809","24.144","120.6844"
"210.209.144.0","210-209-144-0.veetime.com","Taiwan","Taichung City","Taichung","VEE TIME CORP.","17809","24.144","120.6844"
"210.209.160.0","210-209-160-0.veetime.com","Taiwan","Taichung City","Taichung","VEE TIME CORP.","17809","24.144","120.6844"
"210.209.192.0","210-209-192-0.veetime.com","Taiwan","Taichung City","Taichung City","VEE TIME CORP.","17809","24.1547","120.6716"
"210.211.24.0","visit.keznews.com","Taiwan","","","WELL-POWER Tech Corp","133158","24","121"
"210.240.0.0","","Taiwan","Taipei City","Taipei","Taiwan Academic Network TANet Information Center","1659","25.0504","121.5324"
"210.241.0.0","210-241-0-0.hinet-ip.hinet.net","Taiwan","","","Data Communication Business Group","4782","24","121"
"210.242.0.0","210-242-0-0.hinet-ip.hinet.net","Taiwan","Taipei City","Taipei","Data Communication Business Group","3462","25.0504","121.5324"
"210.244.0.0","","Taiwan","","","Digital United Inc.","4780","24","121"
"210.244.128.0","","Taiwan","","","","","24","121"
"211.20.0.0","211-20-0-0.hinet-ip.hinet.net","Taiwan","Taipei City","Taipei","Data Communication Business Group","3462","25.0504","121.5324"
"211.72.0.0","211-72-0-0.hinet-ip.hinet.net","Taiwan","New Taipei","New Taipei","Data Communication Business Group","3462","24.9466","121.586"
"211.76.0.0","","Taiwan","","","Mackay Telecommunication Inc.","7478","24","121"
"216.107.240.0","","Taiwan","","","NC Taiwan Co., Ltd.","142005","24","121"
"216.158.218.56","pointy.gladeast.eu","United States","Georgia","Atlanta","QUICKPACKET","46261","33.7485","-84.3871"
"216.244.77.120","120.216-244-77-rdns.serverstadium.com","United States","","","SERVERSTADIUM","27323","37.751","-97.822"
"216.244.80.128","","Canada","British Columbia","Vancouver","SERVERSTADIUM","27323","49.213","-123.0951"
"216.244.82.96","","Canada","British Columbia","Vancouver","SERVERSTADIUM","27323","49.213","-123.0951"
"216.244.90.192","","Canada","British Columbia","Vancouver","WOW","23033","49.213","-123.0951"
"218.32.0.0","","Taiwan","","","New Century InfoComm Tech Co., Ltd.","9919","24","121"
"218.34.0.0","","Taiwan","","","Asia Pacific On-line Service Inc.","7482","24","121"
"218.34.128.0","","Taiwan","","","Asia Pacific On-line Service Inc.","7482","24","121"
"218.35.0.0","","Taiwan","","","Asia Pacific On-line Service Inc.","7482","24","121"
"218.160.0.0","218-160-0-0.dynamic-ip.hinet.net","Taiwan","","","Data Communication Business Group","3462","24","121"
"218.164.0.0","218-164-0-0.dynamic-ip.hinet.net","Taiwan","Tainan","Tainan City","Data Communication Business Group","3462","22.9917","120.2148"
"218.166.0.0","218-166-0-0.dynamic-ip.hinet.net","Taiwan","Tainan","Tainan City","Data Communication Business Group","3462","22.9917","120.2148"
"218.168.0.0","218-168-0-0.dynamic-ip.hinet.net","Taiwan","","","Data Communication Business Group","3462","24","121"
"218.184.0.0","","Taiwan","","","Asia Pacific On-line Service Inc.","7482","24","121"
"218.187.0.0","","Taiwan","","","Asia Pacific On-line Service Inc.","7482","24","121"
"218.187.128.0","","Taiwan","Chiayi","Chiayi City","Asia Pacific On-line Service Inc.","7482","23.4815","120.4498"
"218.210.0.0","218.210.0.0.adsl.static.sparqnet.net","Taiwan","","","New Century InfoComm Tech Co., Ltd.","9919","24","121"
"219.68.0.0","host-219-68-0-0.static.kbtelecom.net","Taiwan","Kaohsiung","Kaohsiung City","Hoshin Multimedia Center Inc.","9416","22.6148","120.3139"
"219.68.128.0","host-219-68-128-0.dynamic.kbtelecom.net","Taiwan","Tainan","Tainan City","Hoshin Multimedia Center Inc.","9416","22.9917","120.2148"
"219.69.0.0","host-219-69-0-0.static.kbtelecom.net","Taiwan","","","Hoshin Multimedia Center Inc.","9416","24","121"
"219.70.0.0","219-70-0-0.twt1.com.tw","Taiwan","Kaohsiung","Kaohsiung City","Hoshin Multimedia Center Inc.","9416","22.6148","120.3139"
"219.80.0.0","","Taiwan","","","Taiwan Fixed Network, Telco and Network Service Provider.","9924","24","121"
"219.84.0.0","219-84-0-0-adsl-KHH.dynamic.so-net.net.tw","Taiwan","Taichung City","Taichung","Sony Network Taiwan Limited","18182","24.144","120.6844"
"219.86.0.0","219-86-0-0.dynamic.tfn.net.tw","Taiwan","Changhua","Chang-hua","New Changhua Digital Cable TV CO,.Ltd","131597","24.0759","120.5657"
"219.90.0.0","","Taiwan","","","UUNET","703","24","121"
"219.91.0.0","NK219-91-0-0.adsl.dynamic.apol.com.tw","Taiwan","Taipei City","Taipei","Peicity Digital Cable Television., LTD","131627","25.0504","121.5324"
"220.128.0.0","220-128-0-0.hinet-ip.hinet.net","Taiwan","","","","","24","121"
"220.128.64.0","220-128-64-0.twgate-ip.twgate.net","Taiwan","","","Taiwan Internet Gateway","10126","24","121"
"220.128.128.0","220-128-128-0.hinet-ip.hinet.net","Taiwan","New Taipei","New Taipei","Data Communication Business Group","3462","24.9466","121.586"
"220.129.0.0","220-129-0-0.dynamic-ip.hinet.net","Taiwan","New Taipei","New Taipei","Data Communication Business Group","3462","24.9466","121.586"
"220.130.0.0","220-130-0-0.hinet-ip.hinet.net","Taiwan","Taipei City","Taipei","Data Communication Business Group","3462","25.0504","121.5324"
"220.132.0.0","220-132-0-0.hinet-ip.hinet.net","Taiwan","Taipei City","Taipei","Data Communication Business Group","3462","25.0504","121.5324"
"220.136.0.0","220-136-0-0.dynamic-ip.hinet.net","Taiwan","Taipei City","Taipei","Data Communication Business Group","3462","25.0504","121.5324"
"220.157.112.0","","Taiwan","Kaohsiung","Kaohsiung City","Hoshin Multimedia Center Inc.","9416","22.6148","120.3139"
"220.158.228.0","","Taiwan","","","DongFong Technology Co. Ltd.","18046","24","121"
"220.228.0.0","","Taiwan","","","New Century InfoComm Tech Co., Ltd.","9919","24","121"
"221.120.0.0","221-120-0-0.emome-ip.hinet.net","Taiwan","","","","","24","121"
"IP","Domain","Country","Region","City","ISP","ASN","Lat","Long"
"221.120.64.0","221-120-64-0.emome-ip.hinet.net","Taiwan","","","","","24","121"
"221.169.0.0","221-169-0-0.static.seed.net.tw","Taiwan","","","Digital United Inc.","4780","24","121"
"222.156.0.0","","Taiwan","","","Asia Pacific On-line Service Inc.","7482","24","121"
"222.157.0.0","","Taiwan","","","Asia Pacific On-line Service Inc.","7482","24","121"
"222.250.0.0","","Taiwan","","","Asia Pacific Telecom","17709","24","121"
"222.251.0.0","","Taiwan","","","Asia Pacific Telecom","17709","24","121"
"223.22.0.0","","Taiwan","","","Asia Pacific On-line Service Inc.","7482","24","121"
"223.26.0.0","","Taiwan","","","","","24","121"
"223.26.64.0","","Taiwan","","","","","24","121"
"223.27.32.0","","Taiwan","Taipei City","Taipei","PUMO NETWORK DIGITAL TECHNOLOGY CO.,LTD","38843","25.0504","121.5324"
"223.136.0.0","223-136-0-0.emome-ip.hinet.net","Taiwan","Keelung","Keelung","Mobile Business Group","17421","25.1322","121.742"
"223.165.8.0","","Taiwan","","","World-Link International","133955","24","121"
"223.200.0.0","223-200-0-0.hinet-ip.hinet.net","Taiwan","Miaoli","Miaoli","Data Communication Business Group","4782","24.5641","120.8275"
"IP","Domain","Country","Region","City","ISP","ASN","Lat","Long"
"61.220.0.0","61-220-0-0.hinet-ip.hinet.net","Taiwan","New Taipei","New Taipei","Data Communication Business Group","3462","24.9466","121.586"
"61.224.0.0","61-224-0-0.dynamic-ip.hinet.net","Taiwan","Yunlin","Bunan","Data Communication Business Group","3462","23.5981","120.1882"
"61.228.0.0","61-228-0-0.dynamic-ip.hinet.net","Taiwan","New Taipei","Xinzhuang District","Data Communication Business Group","3462","25.0383","121.4506"
"61.247.160.0","static-ip-0-160-247-61.rev.dyxnet.com","Taiwan","","","TW Limited","9244","24","121"
"74.120.120.0","","Taiwan","Taipei City","Taipei","xTom Pty Ltd","8888","25.0504","121.5324"
"74.121.191.88","","United States","","","SERVERSTADIUM","27323","37.751","-97.822"
"74.121.191.128","","United States","","","SERVERSTADIUM","27323","37.751","-97.822"
"85.113.86.0","","Taiwan","","","","","24","121"
"85.203.57.0","visit.keznews.com","Mexico","Mexico City","Mexico City","MODMC","54103","19.4326","-99.1332"
"85.217.216.0","","N/A","N/A","N/A","","","0","0"
"101.0.128.0","","Taiwan","","","SaveCom Internation Inc.","9676","24","121"
"101.3.0.0","","Taiwan","Tainan","Tainan City","Taiwan Intelligent Fiber Optic Network Co.,Ltd.","131584","22.9917","120.2148"
"101.8.0.0","","Taiwan","Kaohsiung","Kaohsiung City","Taiwan Mobile Co., Ltd.","24158","22.6148","120.3139"
